,statsbomb_xg,goal,player_shot,team,location_x,location_y,shot_distance,shot_angle,bodypart,technique,first_time,state_of_play,assist,assist_state_of_play
0,0.26615402,False,Francesca Kirby,Chelsea FCW,109.0,46.0,12.529964086141668,118.61,Left Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
1,0.09352057400000001,False,Bethany England,Chelsea FCW,113.0,35.0,8.602325267042627,54.46,Head,Normal Shot,False,Open Play Shot,High Pass,Set Piece - Free Kick
2,0.036171142,False,Drew Spence,Chelsea FCW,94.0,43.0,26.1725046566048,96.58,Left Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
3,0.016625367000000002,False,Chloe Arthur,Birmingham City WFC,86.0,34.0,34.525353003264144,79.99,Left Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Goal Kick
4,0.030716168,False,Bethany England,Chelsea FCW,94.0,33.0,26.925824035672523,74.93,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Goal Kick
5,0.02135001,False,Charlie Wellings,Birmingham City WFC,106.0,54.0,19.798989873223327,135.0,Left Foot,Normal Shot,False,Open Play Shot,High Pass,Set Piece - Free Kick
6,0.3758993,False,Francesca Kirby,Chelsea FCW,107.0,42.0,13.152946437965904,98.75,Right Foot,Normal Shot,False,Open Play Shot,Through Ball,Open Play Assist
7,0.050711885000000005,False,Erin Cuthbert,Chelsea FCW,95.0,39.0,25.019992006393608,87.71,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
8,0.14075908,False,Francesca Kirby,Chelsea FCW,113.0,41.0,7.071067811865476,98.13,Head,Normal Shot,False,Open Play Shot,High Pass,Set Piece - Corner
9,0.037670862,False,Erin Cuthbert,Birmingham City WFC,98.0,29.0,24.59674775249769,63.43,Left Foot,Volley,False,Open Play Shot,Unassisted,No Assist
10,0.032999475,False,So-yun Ji,Chelsea FCW,95.0,35.0,25.495097567963924,78.69,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
11,0.07365218,False,Francesca Kirby,Chelsea FCW,111.0,34.0,10.816653826391967,56.31,Right Foot,Normal Shot,False,Open Play Shot,Low Pass,Set Piece - Corner
12,0.11205758,False,Erin Cuthbert,Chelsea FCW,108.0,45.0,13.0,112.62,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Throw In
13,0.15216255,False,Francesca Kirby,Chelsea FCW,104.0,38.0,16.1245154965971,82.87,Left Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
14,0.06865658599999999,False,Karen Julia Carney,Chelsea FCW,112.0,30.0,12.806248474865697,38.66,Head,Normal Shot,False,Open Play Shot,Cross,Set Piece - Throw In
15,0.03695459,False,Francesca Kirby,Chelsea FCW,106.0,48.0,16.1245154965971,119.74,Right Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
16,0.12992337,False,Magdalena Ericsson,Chelsea FCW,112.0,42.0,8.246211251235321,104.04,Head,Normal Shot,False,Open Play Shot,High Pass,Set Piece - Corner
17,0.76,False,Karen Julia Carney,Chelsea FCW,108.0,40.0,12.0,90.0,Right Foot,Normal Shot,False,Set Piece - Penalty,Unassisted,No Assist
18,0.015509376000000004,False,Millie Bright,Chelsea FCW,109.0,42.0,11.180339887498945,100.3,Head,Normal Shot,False,Open Play Shot,High Pass,Set Piece - Corner
19,0.09820592,False,So-yun Ji,Chelsea FCW,111.0,42.0,9.219544457292887,102.53,Head,Normal Shot,False,Open Play Shot,Cross,Set Piece - Free Kick
20,0.046387684000000005,False,Francesca Kirby,Chelsea FCW,111.0,32.0,12.041594578792296,48.37,Left Foot,Normal Shot,False,Open Play Shot,Low Pass,Set Piece - Corner
21,0.023775922,False,So-yun Ji,Chelsea FCW,100.0,29.0,22.82542442102665,61.19,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Corner
22,0.05969853,False,Francesca Kirby,Chelsea FCW,103.0,52.0,20.808652046684813,125.22,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Throw In
23,0.06488427000000001,False,So-yun Ji,Chelsea FCW,104.0,37.0,16.278820596099706,79.38,Left Foot,Normal Shot,False,Open Play Shot,High Pass,Open Play Assist
24,0.1657547,False,Alisha Lehmann,West Ham United LFC,108.0,46.0,13.41640786499874,116.57,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Throw In
25,0.63091785,False,Niamh Charles,Liverpool WFC,117.0,39.0,3.1622776601683795,71.57,Head,Normal Shot,False,Open Play Shot,Low Pass,Open Play Assist
26,0.389233,False,Courtney Sweetman-Kirk,Liverpool WFC,117.0,40.0,3.0,90.0,Head,Normal Shot,False,Open Play Shot,Unassisted,No Assist
27,0.6971044,True,Courtney Sweetman-Kirk,Liverpool WFC,118.0,41.0,2.23606797749979,116.57,Right Foot,Normal Shot,True,Open Play Shot,Unassisted,No Assist
28,0.34152466,False,Jessica Anne Clarke,Liverpool WFC,107.0,51.0,17.029386365926403,130.24,Right Foot,Normal Shot,False,Open Play Shot,Through Ball,Set Piece - Throw In
29,0.022615578,False,Christie Murray,Liverpool WFC,95.0,30.0,26.925824035672523,68.2,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play - Counter Attack
30,0.014526293000000001,False,Leanne Kiernan,West Ham United LFC,86.0,33.0,34.713109915419565,78.37,Right Foot,Normal Shot,False,Open Play Shot,Low Pass,Set Piece - Throw In
31,0.033014745000000005,False,Brianna Visalli,West Ham United LFC,98.0,24.0,27.202941017470888,53.97,Right Foot,Normal Shot,False,Open Play Shot,Low Pass,Open Play - Counter Attack
32,0.1617539,False,Rhiannon Roberts,Liverpool WFC,112.0,40.0,8.0,90.0,Head,Normal Shot,False,Open Play Shot,High Pass,Set Piece - Free Kick
33,0.07191629000000001,False,Jessica Anne Clarke,Liverpool WFC,119.0,30.0,10.04987562112089,5.71,Right Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
34,0.06605337,False,Jessica Anne Clarke,Liverpool WFC,114.0,30.0,11.6619037896906,30.96,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
35,0.01550956,False,Leanne Kiernan,West Ham United LFC,100.0,55.0,25.0,126.87,Right Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
