,location_x,location_y,time,statsbomb_xg,outcome,player,team,bodypart,technique,first_touch,state_of_play,assist1,assist2,assist3,assist_state_of_play,inside_18_width,inside_18_depth,inside_18,shot_distance,shot_angle
0,109.0,46.0,2021-06-14 00:04:38.609,0.26615402,Blocked,Francesca Kirby,Chelsea FCW,Left Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,True,True,12.529964086141668,118.61
1,113.0,35.0,2021-06-14 00:11:45.046,0.09352057400000001,Off T,Bethany England,Chelsea FCW,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,8.602325267042627,54.46
2,94.0,43.0,2021-06-14 00:18:03.461,0.036171142,Saved,Drew Spence,Chelsea FCW,Left Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,False,False,26.1725046566048,96.58
3,86.0,34.0,2021-06-14 00:23:11.935,0.016625367000000002,Off T,Chloe Arthur,Birmingham City WFC,Left Foot,Normal,False,Open Play,Ground Pass,,,From Goal Kick,True,False,False,34.52535300326414,79.99
4,94.0,33.0,2021-06-14 00:23:45.810,0.030716168000000002,Off T,Bethany England,Chelsea FCW,Right Foot,Normal,False,Open Play,Ground Pass,,,From Goal Kick,True,False,False,26.92582403567252,74.93
5,106.0,54.0,2021-06-14 00:26:20.694,0.02135001,Wayward,Charlie Wellings,Birmingham City WFC,Left Foot,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,19.79898987322333,135.0
6,107.0,42.0,2021-06-14 00:27:17.983,0.3758993,Saved,Francesca Kirby,Chelsea FCW,Right Foot,Normal,False,Open Play,Ground Pass,Through Ball,Through Ball,Regular Play,True,True,True,13.152946437965905,98.75
7,95.0,39.0,2021-06-14 00:32:20.035,0.050711885000000005,Off T,Erin Cuthbert,Chelsea FCW,Right Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,False,False,25.019992006393608,87.71
8,113.0,41.0,2021-06-14 00:33:11.140,0.14075908,Saved,Francesca Kirby,Chelsea FCW,Head,Normal,False,Open Play,High Pass,,,From Corner,True,True,True,7.0710678118654755,98.13
9,98.0,29.0,2021-06-14 00:33:31.354,0.037670862,Off T,Erin Cuthbert,Birmingham City WFC,Left Foot,Volley,False,Open Play,,,,,True,False,False,24.596747752497688,63.43
10,95.0,35.0,2021-06-14 00:00:18.455,0.032999475,Blocked,So-yun Ji,Chelsea FCW,Right Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,False,False,25.495097567963924,78.69
11,111.0,34.0,2021-06-14 00:09:05.202,0.07365218,Saved,Francesca Kirby,Chelsea FCW,Right Foot,Backheel,False,Open Play,Low Pass,,,From Corner,True,True,True,10.816653826391969,56.31
12,108.0,45.0,2021-06-14 00:13:06.487,0.11205758,Saved,Erin Cuthbert,Chelsea FCW,Right Foot,Normal,False,Open Play,Ground Pass,,,From Throw In,True,True,True,13.0,112.62
13,104.0,38.0,2021-06-14 00:14:27.422,0.15216255,Blocked,Francesca Kirby,Chelsea FCW,Left Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,True,True,16.1245154965971,82.87
14,112.0,30.0,2021-06-14 00:23:42.571,0.068656586,Saved,Karen Julia Carney,Chelsea FCW,Head,Normal,False,Open Play,High Pass,,Cross,From Throw In,True,True,True,12.806248474865697,38.66
15,106.0,48.0,2021-06-14 00:25:22.490,0.03695459,Blocked,Francesca Kirby,Chelsea FCW,Right Foot,Normal,False,Open Play,,,,,True,True,True,16.1245154965971,119.74
16,112.0,42.0,2021-06-14 00:25:52.221,0.12992337,Wayward,Magdalena Ericsson,Chelsea FCW,Head,Normal,False,Open Play,High Pass,,,From Corner,True,True,True,8.246211251235321,104.04
17,108.0,40.0,2021-06-14 00:29:40.261,0.76,Saved,Karen Julia Carney,Chelsea FCW,Right Foot,Normal,False,Penalty,,,,,True,True,True,12.0,90.0
18,109.0,42.0,2021-06-14 00:30:07.955,0.015509376000000002,Off T,Millie Bright,Chelsea FCW,Head,Normal,False,Open Play,High Pass,,,From Corner,True,True,True,11.180339887498949,100.3
19,111.0,42.0,2021-06-14 00:41:54.797,0.09820592,Saved,So-yun Ji,Chelsea FCW,Head,Normal,False,Open Play,High Pass,,Cross,From Free Kick,True,True,True,9.219544457292887,102.53
20,111.0,32.0,2021-06-14 00:42:19.344,0.046387684000000005,Blocked,Francesca Kirby,Chelsea FCW,Left Foot,Backheel,False,Open Play,Low Pass,,,From Corner,True,True,True,12.041594578792296,48.37
21,100.0,29.0,2021-06-14 00:42:22.414,0.023775922,Off T,So-yun Ji,Chelsea FCW,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner,True,False,False,22.825424421026653,61.19
22,103.0,52.0,2021-06-14 00:44:56.529,0.05969853,Blocked,Francesca Kirby,Chelsea FCW,Right Foot,Normal,False,Open Play,Ground Pass,,,From Throw In,True,True,True,20.808652046684813,125.22
23,104.0,37.0,2021-06-14 00:46:20.424,0.06488427000000001,Blocked,So-yun Ji,Chelsea FCW,Left Foot,Normal,False,Open Play,High Pass,,,Regular Play,True,True,True,16.278820596099706,79.38
24,108.0,46.0,2021-06-14 00:06:16.120,0.1657547,Blocked,Alisha Lehmann,West Ham United LFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Throw In,True,True,True,13.416407864998739,116.57
25,117.0,39.0,2021-06-14 00:06:35.545,0.63091785,Saved,Niamh Charles,Liverpool WFC,Head,Normal,False,Open Play,Low Pass,,,Regular Play,True,True,True,3.1622776601683795,71.57
26,117.0,40.0,2021-06-14 00:06:37.104,0.389233,Saved,Courtney Sweetman-Kirk,Liverpool WFC,Head,Normal,False,Open Play,,,,,True,True,True,3.0,90.0
27,118.0,41.0,2021-06-14 00:06:38.055,0.6971044,Goal,Courtney Sweetman-Kirk,Liverpool WFC,Right Foot,Backheel,True,Open Play,,,,,True,True,True,2.23606797749979,116.57
28,107.0,51.0,2021-06-14 00:11:36.419,0.34152466,Off T,Jessica Anne Clarke,Liverpool WFC,Right Foot,Normal,False,Open Play,Ground Pass,Through Ball,Through Ball,From Throw In,True,True,True,17.029386365926403,130.24
29,95.0,30.0,2021-06-14 00:13:27.780,0.022615578,Off T,Christie Murray,Liverpool WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Counter,True,False,False,26.92582403567252,68.2
30,86.0,33.0,2021-06-14 00:23:57.610,0.014526293000000001,Off T,Leanne Kiernan,West Ham United LFC,Right Foot,Normal,False,Open Play,Low Pass,,,From Throw In,True,False,False,34.713109915419565,78.37
31,98.0,24.0,2021-06-14 00:24:34.573,0.033014745000000005,Saved,Brianna Visalli,West Ham United LFC,Right Foot,Normal,False,Open Play,Low Pass,,,From Counter,True,False,False,27.202941017470888,53.97
32,112.0,40.0,2021-06-14 00:31:45.732,0.1617539,Saved,Rhiannon Roberts,Liverpool WFC,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,8.0,90.0
33,119.0,30.0,2021-06-14 00:38:40.289,0.07191629000000001,Off T,Jessica Anne Clarke,Liverpool WFC,Right Foot,Normal,False,Open Play,,,,,True,True,True,10.04987562112089,5.71
34,114.0,30.0,2021-06-14 00:45:51.603,0.06605337,Blocked,Jessica Anne Clarke,Liverpool WFC,Right Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,True,True,11.661903789690601,30.96
35,100.0,55.0,2021-06-14 00:01:34.585,0.01550956,Saved,Leanne Kiernan,West Ham United LFC,Right Foot,Normal,False,Open Play,,,,,True,False,False,25.0,126.87
36,112.0,44.0,2021-06-14 00:13:13.041,0.09044173,Wayward,Brianna Visalli,West Ham United LFC,Head,Normal,False,Open Play,High Pass,,,Regular Play,True,True,True,8.94427190999916,116.57
37,93.0,38.0,2021-06-14 00:21:10.712,0.053666368000000006,Blocked,Alisha Lehmann,West Ham United LFC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Throw In,True,False,False,27.073972741361768,85.76
