,inside_18,first_touch,Open Play,Open Play - Counter Attack,Open Play - Unassisted,Set Piece - Corner,Set Piece - Direct Free Kick,Set Piece - Free Kick,Set Piece - Goal Kick,Set Piece - Penalty,Set Piece - Throw In,time,shot_distance,shot_angle
0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4197263640729219,-0.7126685245536282,0.8117849005233504
1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9195081783619703,-1.1471473866199202,-1.0802221860662278
2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4192899926510188,0.7964813173118536,0.16204341778650846
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.061991288571767715,1.720480751022855,-0.3272535045287076
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.061991288571767715,0.8798141698639396,-0.4764905405091167
5,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15238793387578292,0.09143750397020618,1.2951831257642419
6,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22384767469163314,-0.6437536686377102,0.22604428104292917
7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5811463787708843,0.6689893538589538,-0.09956379745978254
8,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6526061195867344,-1.3165364336526377,0.20775832011252313
9,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6526061195867344,0.6221697020837996,-0.8156656222827747
10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7055653273363227,0.7215459491213941,-0.36559503551181666
11,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0624276599936706,-0.902196413014948,-1.0256592381287264
12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7765886967302699,-0.6606727381818293,0.6351189231473323
13,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7051289559144196,-0.31503608471240285,-0.24231226665843475
14,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.061991288571767715,-0.6821057023725822,-1.5462192549378622
15,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08092819305993272,-0.31503608471240285,0.8451125389932836
16,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08092819305993272,-1.1865410323903598,0.382064818658812
17,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.36676715632333357,-0.7712936180737224,-0.03202371595876702
18,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4382268971391838,-0.8619651409308774,0.27175918336894384
19,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2242840461135363,-1.0788700567082745,0.33752965574766197
20,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2957437869293864,-0.766692389168986,-1.2598375119794085
21,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2957437869293864,0.4262243565834335,-0.881731029515209
22,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4386632685610867,0.20312722199207697,1.0067368388297746
23,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5815827501927873,-0.29796671883361825,-0.3452445306053973
24,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2768068824412213,-0.614609333761764,0.7516181903652405
25,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2768068824412213,-1.748930239546137,-0.5755886513577685
26,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2768068824412213,-1.7668815371007607,-0.03202371595876702
27,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2768068824412213,-1.8513883696073274,0.7516181903652405
28,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9195081783619703,-0.2149384729586529,1.1547941353953195
29,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7765886967302699,0.8798141698639396,-0.6749816970601357
30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.061991288571767715,1.7412505858512726,-0.3750329508307356
31,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009468452244082503,0.9104690942234605,-1.094673993898323
32,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.509686637955034,-1.2137771376412951,-0.03202371595876702
33,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0099048236659856,-0.9870180927639612,-2.518029597932821
34,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.510123009376937,-0.8086941183462629,-1.7733190922993547
35,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6341055865204723,0.6667778205208885,1.0554010896929518
36,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7765886967302699,-1.1093209480999895,0.7516181903652405
37,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.20491077020346815,0.8962025100421294,-0.15707609393444594
38,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08092819305993272,-0.4542465714146933,1.214665910699713
39,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7240658604025847,-1.5456397773169746,1.0554010896929518
40,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7240658604025847,-1.1535989646697844,0.57436234328179
41,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8669853420342851,0.7710096302254987,-0.8445692379469646
42,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0813645644818357,0.45513715235265506,0.48853630085036887
43,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.510123009376937,-1.3010456676021123,0.9616118062111922
44,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5626458457046222,1.5129894355693527,0.774623108955106
45,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4197263640729219,-0.9598325115389623,-0.8888094660043983
46,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2053471416253712,-0.5343286905288351,-1.359230557681776
47,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0624276599936706,-0.9870180927639612,0.13638408551319683
48,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9909679191778205,0.2530879895912209,1.1828129464983606
49,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009468452244082503,-0.2743378880042795,2.208301432869672
50,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15238793387578292,0.8695255092529123,-0.8156656222827747
51,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29530741550748335,0.42379999833515913,1.0848945750645742
52,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36676715632333357,-0.1198977194235388,-1.902795493080777
53,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.36676715632333357,1.0689557515321828,0.32455252218414815
54,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3672035277452366,1.1263809692990034,-0.20633021450505543
55,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4386632685610867,0.7453098248180163,0.36613833655813566
56,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4386632685610867,0.9608781834280568,-0.401577087665196
57,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6530424910086374,0.35743795827623753,-1.0890702316777148
